data,autor,partido,uf,discurso
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Havendo número regimental, declaro aberta a presente reunião."
09/04/2019,AFONSO MOTTA,PDT,RS,"Questão de ordem, Sr. Presidente."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,Questão de ordem do Deputado Afonso Motta.
09/04/2019,AFONSO MOTTA,PDT,RS,"Sr. Presidente, o fundamento da minha questão de ordem..."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Só um minuto, Deputado. Deputados, por favor, a sessão começou. O Deputado Afonso Motta vai fazer uma questão de ordem."
09/04/2019,AFONSO MOTTA,PDT,RS,"Reponha o meu tempo, Excelência."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Reposto o tempo, Deputado."
09/04/2019,AFONSO MOTTA,PDT,RS,"O fundamento da minha questão de ordem são os arts. 161 e 162, do Regimento Interno, inconformado com a decisão de V.Exa. de não aceitar destaques supressivos na apreciação desta PEC nº 6, de 2019. Em primeiro lugar, gostaria de colocar que existem vários precedentes aqui nesta Comissão, na CCJ, permitindo o destaque. Nós tivemos, na PEC nº 41, de 2003, oito destaques para tratar da inconstitucionalidade; na PEC nº 537, de 1997, houve um destaque e, na PEC nº 61, de 2011, sobre a DRU, houve dois destaques do Deputado Antônio Carlos Magalhães Neto. Percebam, pois, que esses precedentes corroboram com o entendimento aqui defendido: os destaques supressivos podem ser apresentados perante a Comissão de Constituição e Justiça durante a apreciação da PEC. Não faria sentido proibi- los apenas para esta PEC. Em segundo lugar, o assunto já foi objeto de questão de ordem nesta Comissão, que, diga-se de passagem, garantiu o direito dos Deputados de corrigirem eventuais inadmissibilidades em PECs via destaque. Nesse sentido, a ata de 13 de maio de 2003 é bastante esclarecedora. Diz o seguinte:  (...) De forma, este Parlamentar deve apresentar a questão, para que as medidas do Governo como um todo não sejam consideradas inadmissíveis, apresentando-a em forma de destaque ou de emenda supressiva como sempre foi a praxe. Essa é a questão que foi colocada na oportunidade e foi acolhida. Não é coerente, Sr. Presidente, nem razoável não permitir que os membros desta Comissão não possam se valer de um instituto consagrado em nosso Regimento Interno, ou seja, o destaque supressivo. Reunião de: 09/04/2019 Lembro a V.Exa. que o mesmo é importante instrumento utilizado para escoimar eventuais inadmissibilidades em PECs encaminhadas para análise deste Colegiado. Isto posto, apresento a presente questão de ordem para requerer a V.Exa. que assegure o direito de utilização de destaques no processo em discussão na PEC nº 6, de 2019. Pedindo a decisão de V.Exa. para a eventualidade de manter a posição que foi determinada, nós podemos recorrer ao Sr. Presidente da Câmara dos Deputados. Muito obrigado, Sr. Presidente."
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,Sr. Presidente...
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputado, eu posso responder a questão de ordem do Deputado Afonso Motta? Depois, eu passarei a palavra a V.Exa."
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,"Eu gostaria também de fazer uma questão de ordem, Sr. Presidente."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,Após eu responder ao Deputado.
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,"Sem problema, Presidente."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Tudo bem, Deputado. Deputado Afonso Motta, com relação à questão da alteração constitucional em nosso regramento jurídico, está previsto de maneira bastante formal, no art. 60 da Constituição da República, a partir do art. 201, do Regimento Interno e artigos seguintes. E a nossa Constituição é rígida. Toda a formatação para a sua alteração está prevista em várias questões dentro do próprio bojo constitucional. No entanto, em respeito a V.Exa. Š eu sei que a sua preocupação é muito grande quanto a essa questão do precedente da Comissão de apresentação de emenda supressiva Š, eu preparei, de maneira formal, uma resposta à sua questão de ordem, a qual eu lerei de maneira bastante ágil, apenas para assentar, mais uma vez, esta posição que eu reitero histórica aqui na Casa. Vou passar para a resposta. (...) São formais as normas do art. 60, incisos I, II e III. Formais são também os §§ 2º, 3º e 5º do mesmo artigo da Constituição. Limitações circunstanciais são aquelas previstas apenas no art. 1º, do art. 60. Materiais são aquelas previstas no § 4º do art. 60, as denominadas cláusulas pétreas Š que todo o mundo conhece. Limitações implícitas, por exemplo, poderiam ser aquelas que buscassem suprimir as próprias limitações expressas. No trâmite na Câmara dos Deputados, pelas normas regimentais elencadas anteriormente, há uma fase de admissibilidade de competência da Comissão de Constituição e Justiça e de Cidadania. Nesta CCJC é que se analisará a viabilidade constitucional da proposta, à luz das limitações constitucionais impostas pelo art. 60 da Carta Magna. Em relação à possibilidade de apresentação de emendas, o § 3º do art. 202 do Regimento Interno é categórico em afirmar que somente perante a Comissão Especial poderá ser apresentada emenda à proposta de emenda à Constituição. Em uma análise estrita do dispositivo mencionado, estaria vedada a apresentação de quaisquer emendas no âmbito da Comissão de Constituição e Justiça e de Cidadania, porquanto a esta cabe analisar a admissibilidade das propostas de emenda à Constituição. Esta Presidência seguirá estritamente este mandamento regimental, em que pese à decisão proferida na Questão de Ordem nº 10.407, de 1997 (Recurso nº 209, de 1997), que admitiu a possibilidade de oferecimento de emenda supressiva pela CCJC ao tempo de exame de admissibilidade de proposta de emenda à Constituição. No mesmo sentido, a decisão da Presidência da Casa, proferida em 1995, então exercida pelo Deputado Federal Luís Eduardo Magalhães, no sentido da possibilidade de emenda supressiva para escoimar textos que não atendam ao crivo de admissibilidade. Cuida-se, pois, de inadmissibilidade parcial de proposta de emenda à Constituição. Registre-se também a decisão proferida na Questão de Ordem nº 10.022, de 1998, no âmbito do Recurso nº 213, de 1997, que informa que a antiga CCJR Š nome antigo da nossa Comissão Š teria competência para o oferecimento de emendas supressivas à PEC para sanar vícios de inconstitucionalidade. Houve uma alteração nesse caminho. Deve-se ressaltar, na linha decisória desta Presidência de Comissão, que o parecer do Relator poderá conter parte em que se propõe a supressão de textos que sejam considerados inadmissíveis. O parecer da Comissão, nesse sentido, poderia Reunião de: 09/04/2019 conter uma parte em que se reconhece a admissibilidade da proposta de emenda à Constituição, ressalvando-se um ou alguns dispositivos incompatíveis com a ordem constitucional. Dessarte, embora não seja cabível a apresentação de emendas no âmbito da análise de admissibilidade, o parecer da Comissão poderá possuir decisão no sentido de posicionamento com natureza supressiva, verdadeiro efeito supressivo contido no parecer da Comissão, decisão esta mais consentânea com a norma descrita no § 3º do art. 202, que impede categoricamente a apresentação de emendas no âmbito de exame da admissibilidade. Na mesma esteira, deve-se destacar a impossibilidade de recebimento de destaque, vez que se revela incompatível com o exame de admissibilidade da proposta de emenda à Constituição. Os destaques são apresentados no plenário da Câmara dos Deputados, conforme os arts. 161 e 162 do Regimento Interno. Por força de dispositivos regimentais, há, como regra geral, a possibilidade de apresentação de destaques no âmbito das Comissões. No entanto, é uma questão diferente do tratado nessa seara. O mecanismo do destaque permite, repita-se, a votação em separado de textos da proposição principal e das acessórias, conforme os ditames dos arts. 161 e 162 do Regimento Interno. Cuida-se de importante instrumento de processo legislativo. Viabiliza a construção de um texto a partir de várias votações. Todavia, no caso aqui tratado, não havendo,  prima facie , a possibilidade de apresentação de emendas no âmbito da CCJC, não há que, inicialmente, se falar de apresentação de destaques. Esse é o posicionamento reiterado, que eu mantenho nessa decisão. Por essas razões, a CCJC deverá analisar o parecer apresentado pelo Relator, sendo este não suscetível de votação destacada. Aprova-o ou rejeita-o. Havendo rejeição, a Comissão procederá de acordo com as normas regimentais para apreciação de novo parecer que consubstancie a vontade da Comissão. Repita-se que a análise de admissibilidade de proposta de emenda à Constituição é instrumentalizada por meio exclusivo de parecer da Comissão, vedada a apresentação de emendas, conforme o § 3° do art. 202 do Regimento Interno, não havendo, nessa hipótese, matéria a ser destacada, porquanto a votação dos membros da Comissão recai somente sobre o parecer do Relator, o qual, sendo aprovado, convola-se em parecer da Comissão. Vamos à decisão, para concluir. Pelos argumentos expostos na fundamentação, conheço da presente Questão de Ordem para, no mérito, indeferi-la,  ex vi  do inciso XXI do art. 57 do Regimento Interno, não sendo possível a apresentação de emendas no âmbito da CCJC, bem como o recebimento de destaques, tudo conforme o Regimento Interno da Casa, mormente a regra restritiva contida no § 3° do art. 202 do Regimento Interno. Assim decido."
09/04/2019,PAULO AZI,DEM,BA,"Pela ordem, Sr. Presidente."
09/04/2019,ERIKA KOKAY,PT,DF,Sr. Presidente...
09/04/2019,MARIA DO ROSÁRIO,PT,RS,Peço a palavra para uma questão de ordem.
09/04/2019,AFONSO MOTTA,PDT,RS,"Sr. Presidente, peço a palavra porque quero formalizar o recurso. Com o maior respeito à decisão de V.Exa., quero recorrer ao Presidente da Câmara. Na verdade, há apenas um argumento. Nós não podemos fazer da Comissão de Constituição e Justiça tudo ou nada. O acordo que foi feito foi para que o relatório do Sr. Relator nesta Comissão não tivesse nenhuma alteração. Isso fere frontalmente os princípios elementares e os precedentes desta Comissão de Constituição e Justiça. Portanto, encaminho o recurso ao Sr. Presidente da Casa. Peço que V.Exa. o receba e faça o encaminhamento. Muito obrigado."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Com certeza, Deputado. Está em seu direito. Pode recorrer."
09/04/2019,ERIKA KOKAY,PT,DF,"Presidente, se me permite, primeiro nós gostaríamos de subscrever o recurso."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputada Erika Kokay, primeiro eu vou passar a palavra para a Deputada Maria do Rosário, para formular a questão de ordem."
09/04/2019,ERIKA KOKAY,PT,DF,"É sobre essa questão, Presidente, art. 41."
09/04/2019,LUIZ FLÁVIO GOMES,PSB,SP,"Depois, por gentileza... Reunião de: 09/04/2019"
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"É incidental à questão. Tem a palavra V.Exa., rapidamente, Deputada."
09/04/2019,ERIKA KOKAY,PT,DF,"Presidente, no art. 41 está dito, de forma muito clara, que ao Relator cabem as mesmas prerrogativas de qualquer membro desta Comissão, tanto é que V.Exa. tem o direito, na condição de Presidente, de escolher dentre os membros desta Comissão alguém para relatar uma matéria. Ao Relator Š e eu me refiro a uma questão de ordem ainda respondida pelo então Presidente Michel Temer Š cabem as emendas supressivas."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"É matéria vencida, Deputada."
09/04/2019,ERIKA KOKAY,PT,DF,"Permita-me concluir, para que V.Exa. possa, a partir de outras leituras, rever uma posição que está prejudicando a avaliação desta própria Comissão e tirando as prerrogativas dos Parlamentares que dela fazem parte. Digo isso, Presidente, porque nós não podemos apenas referendar um parecer. O Regimento desta Casa Š em vários artigos, ele é claro Š diz que cabe aos membros desta Comissão analisar..."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputada, é matéria vencida, decidida."
09/04/2019,ERIKA KOKAY,PT,DF,Não é matéria vencida.
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,Haverá o recurso à Presidência da Câmara.
09/04/2019,ERIKA KOKAY,PT,DF,V.Exa. está usando dois pesos e duas medidas.
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Não estou utilizando, Deputada."
09/04/2019,ERIKA KOKAY,PT,DF,"Está usando um peso para o Relator, que faz parte do colegiado desta Comissão, e outro peso para os Parlamentares..."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Deputada, é matéria vencida. Passarei a palavra à Deputada Maria do Rosário para formular sua questão de ordem."
09/04/2019,ERIKA KOKAY,PT,DF,"Irei recorrer, Presidente, dessa arbitrariedade."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Perfeito. É seu direito, Deputada. Com a palavra a Deputada Maria do Rosário."
09/04/2019,MARIA DO ROSÁRIO,PT,RS,"Sr. Presidente, o PT quer subscrever o recurso do Deputado Afonso Motta."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,"Não é questão de ordem, Deputada."
09/04/2019,MARIA DO ROSÁRIO,PT,RS,"Eu vou apresentar a questão de ordem. Eu quero anunciar e pedir autorização ao autor, cumprimentando-o."
09/04/2019,FELIPE FRANCISCHINI,PSL,PR,Perfeito.
